name,type,imdb_score,genre,encoded_type,encoded_genre
Buster Keaton,MOVIE,8.2,action,0,1
Marion Mack,MOVIE,8.2,action,0,1
Glen Cavender,MOVIE,8.2,action,0,1
Jim Farley,MOVIE,8.2,action,0,1
Frederick Vroom,MOVIE,8.2,action,0,1
Charles Henry Smith,MOVIE,8.2,action,0,1
Joe Keaton,MOVIE,8.2,action,0,1
Al St. John,MOVIE,8.2,action,0,1
Frank Barnes,MOVIE,8.2,action,0,1
Mike Donlin,MOVIE,8.2,action,0,1
Tom Nawn,MOVIE,8.2,action,0,1
Jimmy Bryant,MOVIE,8.2,action,0,1
Budd Fine,MOVIE,8.2,action,0,1
Ray Hanford,MOVIE,8.2,action,0,1
Charles Phillips,MOVIE,8.2,action,0,1
Eddie Foster,MOVIE,8.2,action,0,1
Frank Hagney,MOVIE,8.2,action,0,1
Jack Hanlon,MOVIE,8.2,action,0,1
Edward Hearn,MOVIE,8.2,action,0,1
Hilliard Karr,MOVIE,8.2,action,0,1
Louis Lewyn,MOVIE,8.2,action,0,1
Elgin Lessley,MOVIE,8.2,action,0,1
Clyde Bruckman,MOVIE,8.2,action,0,1
Buster Keaton,MOVIE,8.2,action,0,1
Cary Grant,MOVIE,7.8,comedy,0,3
Rosalind Russell,MOVIE,7.8,comedy,0,3
Ralph Bellamy,MOVIE,7.8,comedy,0,3
Gene Lockhart,MOVIE,7.8,comedy,0,3
Helen Mack,MOVIE,7.8,comedy,0,3
Porter Hall,MOVIE,7.8,comedy,0,3
Ernest Truex,MOVIE,7.8,comedy,0,3
Cliff Edwards,MOVIE,7.8,comedy,0,3
Clarence Kolb,MOVIE,7.8,comedy,0,3
Roscoe Karns,MOVIE,7.8,comedy,0,3
Frank Jenks,MOVIE,7.8,comedy,0,3
Regis Toomey,MOVIE,7.8,comedy,0,3
Abner Biberman,MOVIE,7.8,comedy,0,3
Frank Orth,MOVIE,7.8,comedy,0,3
John Qualen,MOVIE,7.8,comedy,0,3
Alma Kruger,MOVIE,7.8,comedy,0,3
Billy Gilbert,MOVIE,7.8,comedy,0,3
Pat West,MOVIE,7.8,comedy,0,3
Edwin Maxwell,MOVIE,7.8,comedy,0,3
Irving Bacon,MOVIE,7.8,comedy,0,3
Wade Boteler,MOVIE,7.8,comedy,0,3
Harry C. Bradley,MOVIE,7.8,comedy,0,3
Wheaton Chambers,MOVIE,7.8,comedy,0,3
Edmund Cobb,MOVIE,7.8,comedy,0,3
Ann Doran,MOVIE,7.8,comedy,0,3
Ralph Dunn,MOVIE,7.8,comedy,0,3
Earl Dwire,MOVIE,7.8,comedy,0,3
Pat Flaherty,MOVIE,7.8,comedy,0,3
Jack Gardner,MOVIE,7.8,comedy,0,3
Eddie Hart,MOVIE,7.8,comedy,0,3
Marion Martin,MOVIE,7.8,comedy,0,3
Frank McLure,MOVIE,7.8,comedy,0,3
James Millican,MOVIE,7.8,comedy,0,3
Gene Morgan,MOVIE,7.8,comedy,0,3
Delmar Watson,MOVIE,7.8,comedy,0,3
Howard Hawks,MOVIE,7.8,comedy,0,3
Tom Neal,MOVIE,7.3,thriller,0,16
Ann Savage,MOVIE,7.3,thriller,0,16
Claudia Drake,MOVIE,7.3,thriller,0,16
Edmund MacDonald,MOVIE,7.3,thriller,0,16
Tim Ryan,MOVIE,7.3,thriller,0,16
Esther Howard,MOVIE,7.3,thriller,0,16
Pat Gleason,MOVIE,7.3,thriller,0,16
Edgar G. Ulmer,MOVIE,7.3,thriller,0,16
Harley Wood,MOVIE,4.0,crime,0,4
Hugh McArthur,MOVIE,4.0,crime,0,4
Paul Ellis,MOVIE,4.0,crime,0,4
Bill Woods,MOVIE,4.0,crime,0,4
Juanita Fletcher,MOVIE,4.0,crime,0,4
Gloria Browne,MOVIE,4.0,crime,0,4
Symona Boniface,MOVIE,4.0,crime,0,4
Hal Taggart,MOVIE,4.0,crime,0,4
William C. Thompson,MOVIE,4.0,crime,0,4
Dwain Esper,MOVIE,4.0,crime,0,4
Lillian Gish,MOVIE,7.7,history,0,9
Mae Marsh,MOVIE,7.7,history,0,9
Robert Harron,MOVIE,7.7,history,0,9
F.A. Turner,MOVIE,7.7,history,0,9
Sam De Grasse,MOVIE,7.7,history,0,9
Vera Lewis,MOVIE,7.7,history,0,9
Lillian Langdon,MOVIE,7.7,history,0,9
Olga Grey,MOVIE,7.7,history,0,9
Erich von Ritzau,MOVIE,7.7,history,0,9
Bessie Love,MOVIE,7.7,history,0,9
Margery Wilson,MOVIE,7.7,history,0,9
Eugene Pallette,MOVIE,7.7,history,0,9
Spottiswoode Aitken,MOVIE,7.7,history,0,9
Ruth Handforth,MOVIE,7.7,history,0,9
Elmer Clifton,MOVIE,7.7,history,0,9
Seena Owen,MOVIE,7.7,history,0,9
Carl Stockdale,MOVIE,7.7,history,0,9
Mary Alden,MOVIE,7.7,history,0,9
Pearl Elmore,MOVIE,7.7,history,0,9
Julia Mackley,MOVIE,7.7,history,0,9
Miriam Cooper,MOVIE,7.7,history,0,9
Walter Long,MOVIE,7.7,history,0,9
Tom Wilson,MOVIE,7.7,history,0,9
Ralph Lewis,MOVIE,7.7,history,0,9
Lloyd Ingraham,MOVIE,7.7,history,0,9
John P. McCarthy,MOVIE,7.7,history,0,9
Monte Blue,MOVIE,7.7,history,0,9
Marguerite Marsh,MOVIE,7.7,history,0,9
Edward Dillon,MOVIE,7.7,history,0,9
Billy Quirk,MOVIE,7.7,history,0,9
Howard Gaye,MOVIE,7.7,history,0,9
William H. Brown,MOVIE,7.7,history,0,9
George Walsh,MOVIE,7.7,history,0,9
W.S. Van Dyke,MOVIE,7.7,history,0,9
Allan Sears,MOVIE,7.7,history,0,9
Frank Bennett,MOVIE,7.7,history,0,9
Maxfield Stanley,MOVIE,7.7,history,0,9
Josephine Crowell,MOVIE,7.7,history,0,9
Constance  Talmadge,MOVIE,7.7,history,0,9
W.E. Lawrence,MOVIE,7.7,history,0,9
Joseph Henabery,MOVIE,7.7,history,0,9
Chandler House,MOVIE,7.7,history,0,9
Alfred Paget,MOVIE,7.7,history,0,9
Tully Marshall,MOVIE,7.7,history,0,9
Dore Davidson,MOVIE,7.7,history,0,9
Taylor N. Duncan,MOVIE,7.7,history,0,9
Owen Moore,MOVIE,7.7,history,0,9
Frank Borzage,MOVIE,7.7,history,0,9
Karl Brown,MOVIE,7.7,history,0,9
Frank Campeau,MOVIE,7.7,history,0,9
Constance Collier,MOVIE,7.7,history,0,9
Donald Crisp,MOVIE,7.7,history,0,9
Nigel De Brulier,MOVIE,7.7,history,0,9
Clarence Geldart,MOVIE,7.7,history,0,9
Dell Henderson,MOVIE,7.7,history,0,9
Russell Hicks,MOVIE,7.7,history,0,9
DeWolf Hopper Sr.,MOVIE,7.7,history,0,9
Wilfred Lucas,MOVIE,7.7,history,0,9
Francis McDonald,MOVIE,7.7,history,0,9
Vester Pegg,MOVIE,7.7,history,0,9
Herbert Sutch,MOVIE,7.7,history,0,9
Herbert Beerbohm Tree,MOVIE,7.7,history,0,9
King Vidor,MOVIE,7.7,history,0,9
Hal Wilson,MOVIE,7.7,history,0,9
Tammany Young,MOVIE,7.7,history,0,9
Sylvia Ashton,MOVIE,7.7,history,0,9
Jennie Lee,MOVIE,7.7,history,0,9
George Beranger,MOVIE,7.7,history,0,9
Kitty Bradbury,MOVIE,7.7,history,0,9
Tod Browning,MOVIE,7.7,history,0,9
Frank Brownlee,MOVIE,7.7,history,0,9
Kate Bruce,MOVIE,7.7,history,0,9
Edward Burns,MOVIE,7.7,history,0,9
Noble Johnson,MOVIE,7.7,history,0,9
George Fawcett,MOVIE,7.7,history,0,9
Jewel Carmen,MOVIE,7.7,history,0,9
Carol Dempster,MOVIE,7.7,history,0,9
Mildred Harris,MOVIE,7.7,history,0,9
Daisy Jefferson,MOVIE,7.7,history,0,9
Carmel Myers,MOVIE,7.7,history,0,9
Eve Southern,MOVIE,7.7,history,0,9
Pauline Starke,MOVIE,7.7,history,0,9
Natalie Talmadge,MOVIE,7.7,history,0,9
Ethel Grey Terry,MOVIE,7.7,history,0,9
Francis Carpenter,MOVIE,7.7,history,0,9
Virginia Lee Corbin,MOVIE,7.7,history,0,9
Peggy Cartwright,MOVIE,7.7,history,0,9
Gino Corrado,MOVIE,7.7,history,0,9
William Courtright,MOVIE,7.7,history,0,9
Erich von Stroheim,MOVIE,7.7,history,0,9
Max Davidson,MOVIE,7.7,history,0,9
Douglas Fairbanks,MOVIE,7.7,history,0,9
Julia Faye,MOVIE,7.7,history,0,9
Clyde E. Hopkins,MOVIE,7.7,history,0,9
Alberta Lee,MOVIE,7.7,history,0,9
Elmo Lincoln,MOVIE,7.7,history,0,9
Loyola O'Connor,MOVIE,7.7,history,0,9
Wallace Reid,MOVIE,7.7,history,0,9
Alma Rubens,MOVIE,7.7,history,0,9
Madame Sul-Te-Wan,MOVIE,7.7,history,0,9
George Siegmann,MOVIE,7.7,history,0,9
Raymond Wells,MOVIE,7.7,history,0,9
Winifred Westover,MOVIE,7.7,history,0,9
David Butler,MOVIE,7.7,history,0,9
D.W. Griffith,MOVIE,7.7,history,0,9
Edward G. Robinson,MOVIE,7.3,thriller,0,16
Loretta Young,MOVIE,7.3,thriller,0,16
Orson Welles,MOVIE,7.3,thriller,0,16
Philip Merivale,MOVIE,7.3,thriller,0,16
Richard Long,MOVIE,7.3,thriller,0,16
Konstantin Shayne,MOVIE,7.3,thriller,0,16
Byron Keith,MOVIE,7.3,thriller,0,16
Billy House,MOVIE,7.3,thriller,0,16
Martha Wentworth,MOVIE,7.3,thriller,0,16
Erskine Sanford,MOVIE,7.3,thriller,0,16
Theodore Gottlieb,MOVIE,7.3,thriller,0,16
David Bond,MOVIE,7.3,thriller,0,16
Neal Dodd,MOVIE,7.3,thriller,0,16
Ethan Laidlaw,MOVIE,7.3,thriller,0,16
Isabel O'Madigan,MOVIE,7.3,thriller,0,16
Johnny Sands,MOVIE,7.3,thriller,0,16
Pietro Sosso,MOVIE,7.3,thriller,0,16
Orson Welles,MOVIE,7.3,thriller,0,16
Lon Chaney,MOVIE,7.5,horror,0,10
Mary Philbin,MOVIE,7.5,horror,0,10
Norman Kerry,MOVIE,7.5,horror,0,10
Arthur Edmund Carewe,MOVIE,7.5,horror,0,10
Gibson Gowland,MOVIE,7.5,horror,0,10
John St. Polis,MOVIE,7.5,horror,0,10
Snitz Edwards,MOVIE,7.5,horror,0,10
Virginia Pearson,MOVIE,7.5,horror,0,10
Olive Ann Alcorn,MOVIE,7.5,horror,0,10
Betty Van Allen,MOVIE,7.5,horror,0,10
Betty Arthur,MOVIE,7.5,horror,0,10
Joseph Belmont,MOVIE,7.5,horror,0,10
Alexander Bevani,MOVIE,7.5,horror,0,10
Earl Gordon Bostwick,MOVIE,7.5,horror,0,10
Ethel Broadhurst,MOVIE,7.5,horror,0,10
Edward Cecil,MOVIE,7.5,horror,0,10
Ruth Clifford,MOVIE,7.5,horror,0,10
Chester Conklin,MOVIE,7.5,horror,0,10
Roy Coulson,MOVIE,7.5,horror,0,10
Bruce Covington,MOVIE,7.5,horror,0,10
Ward Crane,MOVIE,7.5,horror,0,10
George Davis,MOVIE,7.5,horror,0,10
Madame Fiorenza,MOVIE,7.5,horror,0,10
Alan George,MOVIE,7.5,horror,0,10
Cesare Gravina,MOVIE,7.5,horror,0,10
William Humphrey,MOVIE,7.5,horror,0,10
Carla Laemmle,MOVIE,7.5,horror,0,10
Grace Marvin,MOVIE,7.5,horror,0,10
John Miljan,MOVIE,7.5,horror,0,10
Edith Murgatroyd,MOVIE,7.5,horror,0,10
Templar Saxe,MOVIE,7.5,horror,0,10
Bernard Siegel,MOVIE,7.5,horror,0,10
William Tyroler,MOVIE,7.5,horror,0,10
Vola Vale,MOVIE,7.5,horror,0,10
Ellinor Vanderveer,MOVIE,7.5,horror,0,10
Anton Vaverka,MOVIE,7.5,horror,0,10
Josephine Haynes Webster,MOVIE,7.5,horror,0,10
George B. Williams,MOVIE,7.5,horror,0,10
Ed Wolff,MOVIE,7.5,horror,0,10
Rupert Julian,MOVIE,7.5,horror,0,10
Joel McCrea,MOVIE,7.1,thriller,0,16
Fay Wray,MOVIE,7.1,thriller,0,16
Robert Armstrong,MOVIE,7.1,thriller,0,16
Leslie Banks,MOVIE,7.1,thriller,0,16
Noble Johnson,MOVIE,7.1,thriller,0,16
Steve Clemente,MOVIE,7.1,thriller,0,16
William B. Davidson,MOVIE,7.1,thriller,0,16
Oscar 'Dutch' Hendrian,MOVIE,7.1,thriller,0,16
James Flavin,MOVIE,7.1,thriller,0,16
Hale Hamilton,MOVIE,7.1,thriller,0,16
Landers Stevens,MOVIE,7.1,thriller,0,16
Irving Pichel,MOVIE,7.1,thriller,0,16
Ernest B. Schoedsack,MOVIE,7.1,thriller,0,16
Buster Keaton,MOVIE,7.8,drama,0,6
Ernest Torrence,MOVIE,7.8,drama,0,6
Tom McGuire,MOVIE,7.8,drama,0,6
Marion Byron,MOVIE,7.8,drama,0,6
Tom Lewis,MOVIE,7.8,drama,0,6
James T. Mack,MOVIE,7.8,drama,0,6
Charles Reisner,MOVIE,7.8,drama,0,6
Buster Keaton,MOVIE,7.8,drama,0,6
Charlie Chaplin,MOVIE,8.3,drama,0,6
Jackie Coogan,MOVIE,8.3,drama,0,6
Edna Purviance,MOVIE,8.3,drama,0,6
Carl Miller,MOVIE,8.3,drama,0,6
Albert Austin,MOVIE,8.3,drama,0,6
Charles Reisner,MOVIE,8.3,drama,0,6
Lita Grey,MOVIE,8.3,drama,0,6
Beulah Bains,MOVIE,8.3,drama,0,6
Nellie Bly Baker,MOVIE,8.3,drama,0,6
Henry Bergman,MOVIE,8.3,drama,0,6
Edward Biby,MOVIE,8.3,drama,0,6
F. Blinn,MOVIE,8.3,drama,0,6
Kitty Bradbury,MOVIE,8.3,drama,0,6
Frank Campeau,MOVIE,8.3,drama,0,6
Bliss Chevalier,MOVIE,8.3,drama,0,6
Frances Cochran,MOVIE,8.3,drama,0,6
Elsie Codd,MOVIE,8.3,drama,0,6
Jack Coogan Sr.,MOVIE,8.3,drama,0,6
Estelle Cook,MOVIE,8.3,drama,0,6
Lillian Crane,MOVIE,8.3,drama,0,6
Dan Dillon,MOVIE,8.3,drama,0,6
Philip D'Oench,MOVIE,8.3,drama,0,6
Robert Dunbar,MOVIE,8.3,drama,0,6
Sadie Gordon,MOVIE,8.3,drama,0,6
Jules Hanft,MOVIE,8.3,drama,0,6
Kathleen Kay,MOVIE,8.3,drama,0,6
Raymond Lee,MOVIE,8.3,drama,0,6
Clyde McAtee,MOVIE,8.3,drama,0,6
John McKinnon,MOVIE,8.3,drama,0,6
Lew Parker,MOVIE,8.3,drama,0,6
Esther Ralston,MOVIE,8.3,drama,0,6
Granville Redmond,MOVIE,8.3,drama,0,6
Edgar Sherrod,MOVIE,8.3,drama,0,6
S.D. Wilcox,MOVIE,8.3,drama,0,6
Tom Wilson,MOVIE,8.3,drama,0,6
Charlie Chaplin,MOVIE,8.3,drama,0,6
José Ferrer,MOVIE,7.4,drama,0,6
Mala Powers,MOVIE,7.4,drama,0,6
William Prince,MOVIE,7.4,drama,0,6
Morris Carnovsky,MOVIE,7.4,drama,0,6
Ralph Clanton,MOVIE,7.4,drama,0,6
Lloyd Corrigan,MOVIE,7.4,drama,0,6
Virginia Farmer,MOVIE,7.4,drama,0,6
Edgar Barrier,MOVIE,7.4,drama,0,6
Elena Verdugo,MOVIE,7.4,drama,0,6
Albert Cavens,MOVIE,7.4,drama,0,6
Arthur Blake,MOVIE,7.4,drama,0,6
Don Beddoe,MOVIE,7.4,drama,0,6
Percy Helton,MOVIE,7.4,drama,0,6
Virginia Christine,MOVIE,7.4,drama,0,6
Gil Warren,MOVIE,7.4,drama,0,6
Philip Van Zandt,MOVIE,7.4,drama,0,6
Eric Sinclair,MOVIE,7.4,drama,0,6
Richard Avonde,MOVIE,7.4,drama,0,6
Paul Dubov,MOVIE,7.4,drama,0,6
John Crawford,MOVIE,7.4,drama,0,6
Jerry Paris,MOVIE,7.4,drama,0,6
Robin Hughes,MOVIE,7.4,drama,0,6
Francis Pierlot,MOVIE,7.4,drama,0,6
