release_year,imdb_score,encoded_type,encoded_genre
1926,8.2,0,1
1940,7.8,0,3
1945,7.3,0,16
1936,4.0,0,4
1916,7.7,0,9
1946,7.3,0,16
1925,7.5,0,10
1932,7.1,0,16
1928,7.8,0,6
1921,8.3,0,6
1950,7.4,0,6
1945,7.8,0,16
1939,6.3,0,3
1924,7.7,0,13
1950,7.2,0,4
1942,6.7,0,8
1939,7.3,0,13
1934,7.0,0,6
1940,6.5,0,13
1939,7.1,0,3
1950,6.3,0,6
1946,7.4,0,16
1925,7.2,0,3
1941,7.6,0,13
1931,6.2,0,3
1932,6.3,0,10
1932,6.0,0,13
1925,7.0,0,8
1933,7.0,0,9
1945,7.1,0,6
1932,6.4,0,6
1934,5.3,0,6
1950,6.5,0,6
1942,7.0,0,5
1940,6.2,0,18
1945,5.9,0,1
1950,7.2,0,6
1947,7.1,0,3
1937,6.9,0,13
1941,7.1,0,13
1949,7.1,0,16
1938,6.7,0,6
1943,5.1,0,6
1919,7.3,0,13
1949,7.3,0,4
1921,7.3,0,6
1946,7.4,0,17
1947,6.8,0,16
1944,7.3,0,17
1947,6.4,0,6
1944,5.9,0,17
1949,7.0,0,16
1927,7.0,0,3
1940,5.5,0,10
1922,4.9,0,10
1943,6.5,0,16
1933,6.9,0,4
1945,6.6,0,16
1947,6.4,0,16
1939,6.6,0,1
1949,6.7,0,13
1933,5.7,0,10
1931,6.8,0,10
1941,6.0,0,13
1947,6.8,0,16
1920,6.4,0,6
1920,7.4,0,13
1943,5.0,0,3
1920,7.1,0,18
1946,6.8,0,16
1946,6.3,0,11
1941,5.2,0,3
1934,7.0,0,13
1934,6.2,0,3
1947,6.8,0,18
1941,6.6,0,13
1933,6.4,0,6
1942,3.5,0,10
1936,3.4,0,10
1949,6.2,0,6
1945,6.3,0,6
1918,5.8,0,1
1949,5.7,0,18
1943,6.1,0,18
1942,5.3,0,10
1946,6.8,0,4
1936,7.2,0,6
1920,6.7,0,6
1920,5.9,0,6
1929,7.0,0,1
1926,7.1,0,6
1949,5.6,0,16
1941,5.4,0,10
1937,6.2,0,6
1934,3.7,0,10
1947,4.0,0,16
1929,5.8,0,11
1943,6.3,0,13
1933,4.9,0,1
1939,4.8,0,16
1943,6.0,0,6
1935,6.8,0,18
1950,7.3,0,6
1944,4.8,0,10
1936,5.3,0,6
1934,5.3,0,18
1939,6.6,0,3
1944,5.3,0,16
1926,7.4,0,6
1950,6.7,0,16
1947,6.4,0,6
1950,6.3,0,6
1950,6.6,0,13
1939,6.8,0,6
1934,5.5,0,4
1935,4.2,0,13
1943,6.3,0,3
1942,4.5,0,14
1940,6.5,0,8
1914,5.8,0,8
1943,7.1,0,5
1925,6.6,0,13
1946,5.5,0,6
1934,5.1,0,18
1941,6.3,0,5
1950,5.9,0,6
1944,6.5,0,17
1948,5.6,0,18
1924,7.1,0,3
1948,5.9,0,18
1937,5.6,0,6
1941,5.2,0,16
1940,4.9,0,3
1918,6.6,0,6
1919,6.9,0,6
1945,5.4,0,6
1940,6.6,0,6
1938,5.8,0,18
1941,5.9,0,18
1950,5.3,0,18
1946,6.8,0,8
1943,5.3,0,6
1938,3.9,0,3
1933,5.4,0,18
1935,4.1,0,10
1933,5.2,0,16
1936,6.5,0,3
1932,4.1,0,16
1935,4.4,0,1
1944,6.4,0,18
1925,6.8,0,3
1914,5.4,0,8
1934,5.6,0,10
1946,6.6,0,13
1946,6.8,0,5
1945,6.0,0,6
1947,6.4,0,3
1949,5.4,0,18
1931,6.1,0,3
1937,5.1,0,3
1936,5.6,0,18
1935,3.6,0,6
1939,6.8,0,3
1919,6.9,0,6
1932,5.6,0,1
1931,5.1,0,18
1941,6.6,0,18
1934,5.3,0,18
1946,6.2,0,18
1949,6.0,0,4
1922,5.5,0,4
1943,6.7,0,3
1949,4.3,0,6
1946,5.9,0,3
1947,5.6,0,6
1935,5.7,0,6
1933,6.3,0,13
1935,5.3,0,18
1934,5.7,0,16
1935,5.1,0,18
1950,5.8,0,13
1938,7.0,0,3
1944,7.0,0,5
1950,6.8,0,16
1942,5.9,0,3
1949,5.2,0,1
1950,5.6,0,18
1936,5.7,0,18
1948,5.5,0,7
1938,5.4,0,6
1946,6.6,0,18
1942,5.6,0,6
1938,5.6,0,18
1938,4.8,0,13
1935,4.8,0,16
1941,5.8,0,18
1932,5.8,0,3
1935,5.1,0,18
1941,6.6,0,18
1916,6.4,0,6
1946,6.4,0,18
1931,6.2,0,6
1940,6.2,0,1
1936,6.2,0,6
1942,5.8,0,13
1936,5.9,0,18
1937,6.2,0,3
1950,6.0,0,16
1939,6.6,0,6
1939,5.7,0,6
1943,5.8,0,13
1934,5.6,0,18
1939,5.5,0,3
1936,4.5,0,18
1941,6.0,0,3
1934,5.6,0,18
1917,6.1,0,6
1935,5.0,0,6
1947,6.2,0,18
1936,5.6,0,18
1942,5.3,0,13
1941,6.0,0,3
1939,6.3,0,18
1941,5.7,0,6
1933,5.4,0,18
1941,5.5,0,3
1943,7.0,0,17
1930,4.9,0,3
1933,5.6,0,16
1940,5.7,0,3
1920,5.7,0,13
1944,5.4,0,6
1947,5.2,0,11
1942,4.5,0,3
1930,5.5,0,13
1942,6.0,0,13
1934,5.2,0,18
1938,5.9,0,18
1943,5.6,0,13
1947,5.6,0,18
1947,6.1,0,16
1937,5.6,0,18
1943,6.4,0,18
1937,5.6,0,3
1938,4.5,0,1
1943,6.3,0,18
1934,5.0,0,16
1943,5.4,0,16
1943,6.4,0,18
1948,5.7,0,6
1922,6.7,0,6
1937,5.7,0,4
1940,5.8,0,6
1945,3.8,0,18
1939,6.1,0,16
1944,7.0,0,17
1929,6.0,0,6
1936,6.0,0,18
1936,6.1,0,6
1938,2.8,0,6
1933,5.1,0,4
1920,6.0,0,6
1940,6.0,0,6
1932,5.1,0,13
1947,5.3,0,1
1929,5.3,0,6
1942,5.7,0,16
1941,5.7,0,13
1941,4.7,0,18
1949,5.6,0,13
1938,5.3,0,6
1946,5.6,0,3
1944,5.4,0,18
1927,6.8,0,3
1943,6.4,0,18
1938,5.3,0,18
1929,5.1,0,3
1942,5.4,0,6
1943,5.9,0,9
1931,6.3,0,3
1934,5.1,0,1
1920,5.2,0,3
1925,6.5,0,18
1945,6.4,0,3
1944,6.6,0,18
1947,3.6,0,1
1933,4.4,0,6
1948,4.6,0,3
1949,4.7,0,1
1939,5.0,0,6
1936,5.0,0,16
1946,5.5,0,6
1940,6.3,0,18
1939,5.8,0,18
1940,5.7,0,3
1946,5.7,0,6
1935,6.3,0,3
1946,5.9,0,16
1944,6.0,0,4
1931,6.1,0,13
1938,4.6,0,3
1919,6.3,0,6
1947,5.9,0,4
1939,5.7,0,3
1933,5.6,0,4
1936,5.1,0,6
1940,5.6,0,16
1924,6.1,0,6
1940,5.9,0,6
1946,6.0,0,13
1944,5.4,0,6
1936,5.6,0,16
1937,6.0,0,18
1925,5.7,0,6
1942,7.0,0,18
1937,4.8,0,16
1940,6.8,0,18
1939,4.5,0,6
1941,5.9,0,4
1940,6.2,0,18
1923,6.5,0,6
1946,6.5,0,6
1942,5.6,0,3
1933,5.6,0,16
1937,5.5,0,18
1938,5.5,0,4
1912,5.8,0,6
1935,5.8,0,18
1942,5.2,0,3
1942,6.3,0,18
1935,5.4,0,18
1918,5.4,0,6
1936,6.0,0,18
1939,6.0,0,13
1921,6.4,0,6
1937,4.9,0,4
1925,6.8,0,3
1938,5.5,0,6
1941,5.3,0,4
1942,6.3,0,18
1935,5.1,0,18
1946,5.8,0,6
1933,5.2,0,3
1935,5.3,0,18
1930,5.0,0,13
1938,6.1,0,4
1937,5.4,0,13
1915,5.8,0,3
1933,4.8,0,16
1944,6.2,0,6
1947,5.7,0,13
1936,5.5,0,6
1933,5.5,0,16
1944,5.2,0,18
1932,5.4,0,18
1927,6.3,0,6
1940,5.5,0,6
1917,6.3,0,6
1941,5.4,0,16
1937,5.6,0,6
1946,5.2,0,3
